 schemaname |        tablename         |          attname          |     typname      | attnotnull 
------------+--------------------------+---------------------------+------------------+------------
 public     | alembic_version          | version_num               | varchar          | t
 public     | match_check_ins          | id                        | uuid             | t
 public     | match_check_ins          | match_id                  | uuid             | t
 public     | match_check_ins          | participant_id            | uuid             | t
 public     | match_check_ins          | team_id                   | uuid             | f
 public     | match_check_ins          | status                    | varchar          | t
 public     | match_check_ins          | checked_in_at             | timestamp        | f
 public     | match_check_ins          | created_at                | timestamptz      | t
 public     | match_check_ins          | updated_at                | timestamptz      | t
 public     | matches                  | id                        | int4             | t
 public     | matches                  | tournament_id             | uuid             | f
 public     | matches                  | season_id                 | int4             | f
 public     | matches                  | team_a_id                 | int4             | t
 public     | matches                  | team_b_id                 | int4             | t
 public     | matches                  | scheduled_at              | timestamptz      | t
 public     | matches                  | started_at                | timestamptz      | f
 public     | matches                  | completed_at              | timestamptz      | f
 public     | matches                  | status                    | varchar          | t
 public     | matches                  | result                    | varchar          | f
 public     | matches                  | team_a_score              | int4             | f
 public     | matches                  | team_b_score              | int4             | f
 public     | matches                  | created_at                | timestamptz      | t
 public     | matches                  | updated_at                | timestamptz      | t
 public     | permissions              | id                        | int4             | t
 public     | permissions              | name                      | varchar          | t
 public     | permissions              | description               | text             | f
 public     | permissions              | resource                  | varchar          | t
 public     | permissions              | action                    | varchar          | t
 public     | permissions              | created_at                | timestamptz      | t
 public     | permissions              | updated_at                | timestamptz      | t
 public     | player_profiles          | id                        | int4             | t
 public     | player_profiles          | profile_id                | varchar          | t
 public     | player_profiles          | user_id                   | int4             | t
 public     | player_profiles          | player_name               | varchar          | t
 public     | player_profiles          | summoner_name             | varchar          | t
 public     | player_profiles          | position                  | player_position  | t
 public     | player_profiles          | region_id                 | int4             | t
 public     | player_profiles          | current_team_id           | int4             | f
 public     | player_profiles          | current_rating            | float8           | t
 public     | player_profiles          | peak_rating               | float8           | t
 public     | player_profiles          | rank_tier                 | varchar          | f
 public     | player_profiles          | rank_division             | varchar          | f
 public     | player_profiles          | league_points             | int4             | f
 public     | player_profiles          | contract_status           | contractstatus   | t
 public     | player_profiles          | total_matches             | int4             | t
 public     | player_profiles          | total_wins                | int4             | t
 public     | player_profiles          | total_losses              | int4             | t
 public     | player_profiles          | last_active               | timestamptz      | f
 public     | player_profiles          | created_at                | timestamptz      | t
 public     | player_profiles          | updated_at                | timestamptz      | t
 public     | player_profiles          | description               | text             | f
 public     | player_profiles          | locked_rating             | float8           | f
 public     | player_profiles          | contract_start            | timestamptz      | f
 public     | regions                  | id                        | int4             | t
 public     | regions                  | name                      | varchar          | t
 public     | regions                  | description               | text             | f
 public     | regions                  | created_at                | timestamptz      | t
 public     | regions                  | updated_at                | timestamptz      | t
 public     | regions                  | admin_user_id             | int4             | t
 public     | regions                  | is_active                 | bool             | t
 public     | regions                  | max_teams_per_season      | int4             | t
 public     | regions                  | allow_public_registration | bool             | t
 public     | role_permissions         | id                        | int4             | t
 public     | role_permissions         | role_id                   | int4             | t
 public     | role_permissions         | permission_id             | int4             | t
 public     | role_permissions         | created_at                | timestamptz      | t
 public     | roles                    | id                        | int4             | t
 public     | roles                    | name                      | varchar          | t
 public     | roles                    | description               | text             | f
 public     | roles                    | level                     | int4             | t
 public     | roles                    | is_system                 | bool             | t
 public     | roles                    | created_at                | timestamptz      | t
 public     | roles                    | updated_at                | timestamptz      | t
 public     | seasons                  | id                        | int4             | t
 public     | seasons                  | name                      | varchar          | t
 public     | seasons                  | description               | text             | f
 public     | seasons                  | region_id                 | int4             | t
 public     | seasons                  | start_date                | date             | t
 public     | seasons                  | end_date                  | date             | t
 public     | seasons                  | status                    | varchar          | t
 public     | seasons                  | max_teams                 | int4             | t
 public     | seasons                  | registration_deadline     | date             | t
 public     | seasons                  | created_at                | timestamptz      | t
 public     | seasons                  | updated_at                | timestamptz      | t
 public     | team_members             | id                        | int4             | t
 public     | team_members             | team_id                   | int4             | t
 public     | team_members             | player_profile_id         | int4             | t
 public     | team_members             | position                  | varchar          | t
 public     | team_members             | is_captain                | bool             | t
 public     | team_members             | is_substitute             | bool             | t
 public     | team_members             | is_active                 | bool             | t
 public     | team_members             | joined_at                 | timestamptz      | t
 public     | team_members             | left_at                   | timestamptz      | f
 public     | team_members             | created_at                | timestamptz      | t
 public     | team_members             | updated_at                | timestamptz      | t
 public     | teams                    | id                        | int4             | t
 public     | teams                    | name                      | varchar          | t
 public     | teams                    | tag                       | varchar          | t
 public     | teams                    | description               | text             | f
 public     | teams                    | region_id                 | int4             | t
 public     | teams                    | captain_user_id           | int4             | t
 public     | teams                    | is_active                 | bool             | t
 public     | teams                    | is_recruiting             | bool             | t
 public     | teams                    | min_rank_requirement      | varchar          | f
 public     | teams                    | max_members               | int4             | t
 public     | teams                    | created_at                | timestamptz      | t
 public     | teams                    | updated_at                | timestamptz      | t
 public     | tournament_matches       | id                        | uuid             | t
 public     | tournament_matches       | tournament_id             | uuid             | t
 public     | tournament_matches       | round_number              | int4             | t
 public     | tournament_matches       | match_number              | int4             | f
 public     | tournament_matches       | blue_side_id              | uuid             | t
 public     | tournament_matches       | red_side_id               | uuid             | t
 public     | tournament_matches       | status                    | varchar          | t
 public     | tournament_matches       | room_id                   | uuid             | f
 public     | tournament_matches       | scheduled_time            | timestamp        | t
 public     | tournament_matches       | started_at                | timestamp        | f
